ID,名前,説明,画像
hoshiman,ホシマン,"２７歳男性。
主人公。頭の形が星の形をしていて、
全身が黄色でいかにも星という感じ。
暗い性格をしている。

港で船に荷物をつけたり、書類を作っ
たりする仕事を派遣でしていた。
７月末で契約が終了し趣味のバイクで
オプティプル島へ向かっていた。

肉体労働をしていたことが、今回の海
難事故では不幸中の幸いとなった。

１７０ｃｍ。５５Ｋｇ。
",res\\image\\hoshiman00.png
daikeiman,ダイケイマン,"４０代男性。
頭が台形の男。全身ボロボロで両足が
折れている。
モンスターとの戦闘で崖から飛び降り
負傷した。
",res\\image\\daikeiman00.png
sankakuman,サンカクマン,"頭が三角形の子供。シカクマンと一緒
にプロリタン島にたどり着いた。
わんぱくボーイ。

１１歳。
",res\\image\\sankakuman00.png
shikakuman,シカクマン,"頭が四辺形の子供。サンカクマンより
年下。おとなしめ。
８歳。

サンカクマンとは赤の他人。
",res\\image\\shikakuman00.png
vim,ビム,"人型のモンスター。全身真っ白。
実験体。人を攻撃しない。
モンスターは兵器として人を攻撃する
ように作られている。
しかしビムは、モンスターに人格を持
たせるのが目的の実験体であった。
人を攻撃するところまでは研究が進ん
でいなかった。
そしてここに廃棄された。何もするこ
とがない。
名前はない。ホシマンたちがつけた。
",res\\image\\vim00.png
vsco,ブイエスコ,"人型のモンスター。全身真っ白。
実験体。人を攻撃する。
ビムとブイエスコは見た目が同じで区
別ができない。
名前はない。ホシマンたちがつけた。
",res\\image\\vsco00.png
webnin,ウェブニン,"原住民の老婆
",res\\image\\rouba00.png
xeoff,ジーオフ,"ライネンという契約を行うことができ
る。
絶体絶命の人の元に現れ契約を勧めて
くる。

社会に与える影響を考慮してパワーエ
ッグ島限定で契約ができるようにして
いる。

絶体絶命の人の元に現れるのは１年後
に死亡する、という契約を獲得したい
から。

顔が牛の頭蓋骨
",res\\image\\xeoff00.png
gain,ガイン,"暴力的な男。
",res\\image\\gain00.png
nes,ネス,"ウソやズルをする男。
",res\\image\\nes00.png
noble,ノーブル," 素直で純粋な性格の男性。
ネスに利用され死んだ。
",res\\image\\noble00.png
hishigataman,ヒシガタマン,"ホシマンの元恋人。
若者同士の恋愛はそうそううまくいか
ない。
",res\\image\\hishigata00.png
